ID,OriginallyMassAction,OriginallyPolynomial,NumberReactions,IrrelevantSpecies,EffectivelyFullRank,Consistent,IntegerCoefficients,Linear,NondegenerateWrtConservationLaws,Nondegenerate,SpeciesWithGenericLocalACR
BIOMD0000000290,false,false,12,Int64[],true,false,true,true,,,
BIOMD0000000291,false,true,0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",true,true,true,true,,,
BIOMD0000000292,false,true,4,Int64[],false,true,true,false,true,true,Int64[]
BIOMD0000000294,false,false,26,[1],true,true,true,true,true,true,Int64[]
BIOMD0000000295,false,false,10,Int64[],true,true,true,true,true,true,Int64[]
BIOMD0000000296,false,false,8,[1],false,false,true,true,,,
BIOMD0000000298,false,false,0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",true,true,true,true,,,
BIOMD0000000299,false,false,0,"[1, 2, 3]",true,true,true,true,,,
BIOMD0000000300,false,false,10,"[4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]",true,true,true,true,true,true,Int64[]
BIOMD0000000303,false,false,68,[38],false,false,true,false,,,
BIOMD0000000306,false,false,8,[3],false,true,true,true,true,true,"[1, 2]"
BIOMD0000000307,false,false,5,[3],false,true,true,true,true,true,"[1, 2]"
BIOMD0000000308,false,false,6,[4],false,true,true,true,true,true,[2]
BIOMD0000000309,false,false,4,[2],false,true,true,true,true,true,[1]
BIOMD0000000310,false,false,6,[2],false,true,true,true,true,true,[1]
BIOMD0000000311,false,false,5,[2],false,true,true,true,true,true,[1]
BIOMD0000000312,false,false,4,[3],true,true,true,true,true,true,Int64[]
BIOMD0000000313,false,false,16,"[8, 16]",false,false,true,true,,,
BIOMD0000000314,false,true,12,"[8, 12]",false,false,true,true,,,
BIOMD0000000315,true,true,45,Int64[],false,false,true,false,,,
BIOMD0000000319,false,false,4,Int64[],true,true,false,true,,,
BIOMD0000000320,false,false,16,Int64[],true,false,true,true,,,
BIOMD0000000321,false,true,6,Int64[],true,false,true,true,,,
BIOMD0000000322,false,false,9,Int64[],true,true,true,true,false,false,Int64[]
BIOMD0000000323,false,false,6,Int64[],true,true,true,true,false,false,Int64[]
BIOMD0000000325,false,false,12,Int64[],true,false,true,false,,,
BIOMD0000000328,false,false,29,Int64[],false,false,true,true,,,
BIOMD0000000329,false,false,8,Int64[],true,true,true,true,true,true,Int64[]
BIOMD0000000332,false,true,69,[39],false,false,true,false,,,
BIOMD0000000333,false,true,45,Int64[],false,false,true,false,,,
BIOMD0000000334,false,true,66,[39],false,false,true,false,,,
BIOMD0000000335,true,true,43,Int64[],false,false,true,false,,,
BIOMD0000000341,false,false,0,"[1, 2, 3]",true,true,true,true,,,
BIOMD0000000346,false,true,0,"[1, 2]",true,true,true,true,,,
BIOMD0000000347,false,false,38,[26],false,false,true,true,,,
BIOMD0000000350,false,false,30,Int64[],true,true,true,true,true,true,Int64[]
BIOMD0000000353,false,false,14,"[2, 4, 16, 17, 18, 21, 22, 23, 24, 25, 26, 27, 28]",false,false,false,false,,,
BIOMD0000000354,false,false,11,[4],true,true,true,true,true,true,Int64[]
BIOMD0000000355,false,false,17,[7],true,true,true,true,true,true,Int64[]
BIOMD0000000357,true,true,12,Int64[],false,false,true,false,,,
BIOMD0000000358,false,false,9,[12],false,false,true,false,,,
BIOMD0000000359,true,true,15,Int64[],false,false,true,false,,,
BIOMD0000000360,true,true,15,Int64[],false,false,true,false,,,
BIOMD0000000361,true,true,9,Int64[],false,false,true,false,,,
BIOMD0000000362,true,true,45,Int64[],false,false,true,false,,,
BIOMD0000000363,true,true,4,Int64[],false,false,true,true,,,
BIOMD0000000364,true,true,22,[14],false,false,true,false,,,
BIOMD0000000365,true,true,57,Int64[],false,false,true,false,,,
BIOMD0000000366,false,false,9,[12],false,false,true,false,,,
BIOMD0000000368,false,true,0,"[1, 2, 3, 4, 5, 6, 7, 8]",true,true,true,true,,,
BIOMD0000000369,false,true,0,"[1, 2, 3, 4, 5, 6, 7]",true,true,true,true,,,
BIOMD0000000370,false,false,0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",true,true,true,true,,,
BIOMD0000000383,false,false,4,[5],false,false,false,false,,,
BIOMD0000000384,false,false,4,Int64[],false,false,false,false,,,
BIOMD0000000388,false,false,7,Int64[],false,false,false,false,,,
BIOMD0000000389,false,true,21,Int64[],false,false,true,false,,,
BIOMD0000000390,false,false,8,[8],false,false,true,false,,,
BIOMD0000000391,false,false,32,[22],false,false,true,false,,,
BIOMD0000000396,false,false,30,"[1, 6, 8, 18, 24, 30, 35]",false,false,true,false,,,
BIOMD0000000397,false,false,55,[49],false,false,true,false,,,
BIOMD0000000399,false,false,242,"[95, 96, 97, 98, 99, 100]",false,false,true,false,,,
